W Virginia,Iowa State
Kentucky,Tennessee
Indiana,Michigan
S Carolina,Georgia
Villanova,Creighton
Maryland,Nebraska
,
Kansas,Kansas St
Miami (FL),Notre Dame
N Carolina,Louisville
,
Baylor,Texas
Iowa,Northwestern
Villanova,St Johns
Maryland,Ohio State
Wichita St,Evansville
Oregon,Arizona St
